image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall,split
GPAB6660_jpg.rf.31b6a04bb3b33417f99359b150249ea1.jpg,lcc,119926,127611,11383,0.46317781554148,0.6331121352739636,0.48447706807467167,0.9133113495647671,train
GPAB6661_jpg.rf.3c4167a579d558a7483fe8be14f117da.jpg,lcc,107787,175729,386126,0.16096212603152132,0.2772909165981717,0.3801796018566853,0.21823074104143847,train
GPAB6662_jpg.rf.2108d9d531e28867ea4da578a80bbdb8.jpg,lcc,100607,238342,21977,0.2787468899441991,0.4359688256311033,0.2968204656157711,0.8207188540103113,train
GPAB6663_jpg.rf.86f74cdd128bbd44c7c2229648721c5d.jpg,lcc,195438,241600,4202,0.44292901822137615,0.6139304326519842,0.447187658739057,0.9789521138048487,train
GPAB6664_jpg.rf.c6ef7a66d43f9061b3dfc2c5107657e0.jpg,lcc,248064,134088,77715,0.5394255295552844,0.700814062387436,0.6491239088111537,0.7614487121637674,train
GPAB6665_jpg.rf.1b65939da5c873cbe5254fc52cc442d4.jpg,lcc,188848,164231,10801,0.5189842805320435,0.6833306798280528,0.5348604703196735,0.9459000545958156,train
GPAB6666_jpg.rf.4c4e1b29088fb6b155dc41c398781370.jpg,lcc,187217,328989,9345,0.35622993772250455,0.5253238080272964,0.36267885301604397,0.9524577487001556,train
GPAB6668_jpg.rf.8a52d79d063cb9a4eb650e20d0cde86a.jpg,lcc,89474,194266,4886,0.30999979211852013,0.4732822004760645,0.31533798547966446,0.948219584569733,train
GPAB6669_jpg.rf.321fecc390e5ecce908b5f9958f266ec.jpg,lcc,152136,91254,23864,0.5692562131904481,0.7255108610124228,0.6250708739060766,0.8644090909090909,train
GPAB6670_jpg.rf.5e7d6bc2eaca9c5c6f30031c970d577c.jpg,lcc,42397,67095,4030,0.3734694596642061,0.5438336572194536,0.3872155043290834,0.913197062054408,train
GPAB6671_jpg.rf.8823d517f81d5155714d6730facb6945.jpg,lcc,122523,159945,6393,0.4241590245827578,0.5956624467650662,0.4337588682611836,0.9504095690216885,train
GPAB6672_jpg.rf.cfd673b99f828cebf1bf4d7528ea8aff.jpg,lcc,114353,152556,7472,0.41676719597931344,0.5883354684694418,0.42843441022970374,0.9386661194336138,train
GPAB6673_jpg.rf.cd25a2f71375986cca89454d261f329d.jpg,lcc,117498,300587,15307,0.27111252630413113,0.42657517834776454,0.28103854479352286,0.884740785361997,train
GPAB6674_jpg.rf.20c047131d1c05472033eea3285c7c80.jpg,lcc,84811,165835,7007,0.3291675237625799,0.49529877592973276,0.33836965281712056,0.9236859874970049,train
GPAB6675_jpg.rf.4f04c89d08e730b52a36b57e46d13726.jpg,lcc,171165,99846,90787,0.4730954842204766,0.6423147573096069,0.6315795299821778,0.653421237478622,train
GPAB6676_jpg.rf.62dd073dcce1a1a6cf857a62a9f0e112.jpg,lcc,184851,56364,73752,0.5868900551486346,0.7396732410597457,0.7663329394938125,0.7148060927367432,train
GPAB6677_jpg.rf.fe0934180b433aa2bdd28762cc4c938e.jpg,lcc,286140,77535,206007,0.5022802194908739,0.6686904519865112,0.7868014023510002,0.5814116513968387,train
GPAB6679_jpg.rf.56d98813e84f509e5216b1ab208b9c4d.jpg,lcc,177523,87693,5998,0.6545495439026009,0.7912117788370471,0.6693525277509652,0.9673170917769629,train
GPAB6680_jpg.rf.8ffe46388f899aa283fc4a3f321cec09.jpg,lcc,229644,61729,26344,0.7227941847619107,0.8390952223486876,0.7881444059676085,0.8970889260434083,train
GPAB6681_jpg.rf.0f833ea68a8c1dffcb4c3f6adea2c72d.jpg,lcc,270416,103767,4740,0.7136436690303835,0.8328962221582256,0.7226838204835602,0.982773408539156,train
GPAB6682_jpg.rf.eb22232a2c018cc5851106de08352de7.jpg,lcc,29252,104348,12621,0.20005334391092935,0.33340741880517233,0.21895209580838323,0.6985885893057578,train
GPAB6683_jpg.rf.a8e659241e83b43452b24e4ddccbe5bd.jpg,lcc,41298,21949,4981,0.6052940141877236,0.7541223088581707,0.6529637769380365,0.8923701895027982,train
GPAB6685_jpg.rf.42cdbc2507e32fe09d31984fc16f69b6.jpg,lcc,210038,261210,5821,0.4402675503962739,0.6113691171826222,0.44570587036974163,0.9730333226782297,train
GPAB6686_jpg.rf.0541fbfe096aff1703cafa9538cc4c97.jpg,lcc,69530,132047,8021,0.33173026460176147,0.49819437677337997,0.34493022517449906,0.8965712885713917,train
GPAB6687_jpg.rf.f4a6a527a7155e2ece923d872127b126.jpg,lcc,248458,201021,6981,0.5443149454497656,0.7049273816245294,0.5527688724056073,0.9726705788857614,train
GPAB6688_jpg.rf.57296e4a40af7ca9cfdf1f0f28a97d2c.jpg,lcc,117430,256112,8184,0.30762903234257033,0.4705142280168925,0.3143689330784758,0.9348480264938621,train
GPAB6689_jpg.rf.be92867710229776bc9c7cdaf8ee7bb8.jpg,lcc,218165,186368,17543,0.5168855845866621,0.6815089942693454,0.539300872858333,0.9255731667995996,train
GPAB6690_jpg.rf.58efacb471360e1d9e71b80ee71f6572.jpg,lcc,221328,160196,42864,0.5215227574766488,0.6855273835556189,0.5801155366372758,0.8377543604651163,train
GPAB6692_jpg.rf.6ad73c56d9ae12964e6c6e531ac3da38.jpg,lcc,124732,48391,16181,0.658897857414529,0.7943802621355514,0.7204819694667953,0.8851702823728116,train
GPAB6694_jpg.rf.23021e03dc2ebb10427984d31a572e3d.jpg,lcc,204613,194056,17171,0.49204742208541746,0.6595600311385391,0.5132403071219482,0.9225778234678786,train
GPAB6695_jpg.rf.b95d2c9058d219316957c2f1e02a8d4e.jpg,lcc,449745,69436,9755,0.8502824538318435,0.919083950745953,0.8662585880454022,0.9787704026115343,train
GPAB6699_jpg.rf.1f86c763a14196b5d571d2540d89638c.jpg,lcc,56871,150183,2575,0.2712935710230932,0.4267992495309568,0.27466747804920455,0.9566833765097735,train
GPAB6701_jpg.rf.149875ae1fe458dc6e8531c3f26d32f6.jpg,lcc,28116,169941,1959,0.14056875449964004,0.24648887486192206,0.1419591329768703,0.9348628428927681,train
GPAB6704_jpg.rf.9790ef8bf24b48dda270de4b435b6865.jpg,lcc,70722,149498,21787,0.2922312164524167,0.45228936235526607,0.3211424938697666,0.7644877795673934,train
GPAB6705_jpg.rf.01585a7db7bb160584e50946bb0e8993.jpg,lcc,217662,150748,67449,0.4993862694128147,0.6661209050665549,0.5908145815803045,0.7634289802918863,train
GPAB6710_jpg.rf.9e215ac6bc82835890363fb4d212536b.jpg,lcc,223245,272170,33793,0.4218473643633505,0.5933792542524251,0.45062220562558664,0.868529166893611,train
GPAB6711_jpg.rf.0304d9a3dd979cd916641d89cb49b8f0.jpg,lcc,172833,147217,39374,0.48086104433760685,0.6494343897778705,0.5400187470707702,0.8144547540844552,train
GPAB6712_jpg.rf.822cd24c51032f70db27a6d6f422a8c4.jpg,lcc,111460,179869,34710,0.34186094301601955,0.5095325932173559,0.3825915030772769,0.762536772251488,train
GPAB6713_jpg.rf.27d0d3fc4947952724f70345fd4f81b9.jpg,lcc,219859,190008,117002,0.4172934828202077,0.5888596650989383,0.5364154713602217,0.6526697955536557,train
GPAB6714_jpg.rf.d664e0d22c48cb5ba50f7da1a60f33a3.jpg,lcc,358239,154292,143090,0.5464117226263344,0.7066833685124179,0.6989606482339605,0.714578649948437,train
GPAB6718_jpg.rf.0f4f6dd3bde84d2d235fde632ef8b650.jpg,lcc,102936,53970,40797,0.5206597775451055,0.6847814155848043,0.6560360980459639,0.7161612155872347,train
GPAB6720_jpg.rf.470f598882af8d62b6eb1b2dd1b45516.jpg,lcc,129036,98490,40668,0.4811293317523882,0.6496790272638018,0.5671263943461406,0.7603592136897186,train
GPAB6721_jpg.rf.6d79cc0bee61efd5fc70bf8565773f07.jpg,lcc,211832,63714,39088,0.673264809270454,0.8047319295073186,0.7687718203131237,0.8442212657420692,train
GPAB6722_jpg.rf.3905acae98248caaa1018f868607f294.jpg,lcc,184269,83433,19218,0.6422312839815977,0.7821447444655966,0.6883362843759105,0.9055566203246399,train
GPAB6723_jpg.rf.a9391a805eef75647fdc4a53714dddc1.jpg,lcc,140602,132498,17578,0.48370361706080267,0.6520218883324058,0.5148370560234347,0.8888734353268428,train
GPAB6724_jpg.rf.abb977d8b1d48600b80c49827e043ca3.jpg,lcc,118185,127374,16657,0.45071620343533575,0.6213706062812664,0.4812896289690054,0.8764702392429659,train
GPAB6725_jpg.rf.990d5f2625903257e8bc17df9fa2bf20.jpg,lcc,192661,112244,27788,0.5790954423447443,0.7334521103865204,0.6318722224955314,0.8739481694178699,train
GPAB6726_jpg.rf.6e8b4f32f5c8ad2068d284eea6b3ba73.jpg,lcc,242888,100781,71671,0.5847931814898637,0.738005675844844,0.7067498086821913,0.7721540315171399,train
GPAB6727_jpg.rf.2b47a87edd848492b696c791dce918bb.jpg,lcc,136283,76318,49531,0.5199021866845711,0.6841258486753762,0.6410270883015602,0.7334377388140829,train
GPAB6728_jpg.rf.c94a7a80fbc13b2ef9bf80be068ef9ee.jpg,lcc,129630,80725,24577,0.5517766843171641,0.7111547555696973,0.6162439685293908,0.8406233180076131,train
GPAB6729_jpg.rf.252f5cc0c0084ddbc28a453a606bd948.jpg,lcc,77608,226356,17656,0.2413034015297556,0.3887903654052321,0.25531970891289757,0.8146624118239839,train
GPAB6730_jpg.rf.faeabf355c420e2ba8d4915690db7746.jpg,lcc,64044,212184,8783,0.22470711656743073,0.3669564968271476,0.23185194839046006,0.8793991239512818,train
GPAB6731_jpg.rf.9aff60cc937711da4f513b555afdcc79.jpg,lcc,100413,153933,17874,0.3688670927925942,0.5389377752372978,0.39478898822863345,0.8488929468157955,train
GPAB6733_jpg.rf.acb5d981beab731e09c53f2eedd2e502.jpg,lcc,96372,243594,5875,0.2786598465768952,0.4358623559235029,0.28347540636416585,0.9425411014504093,train
GPAB6734_jpg.rf.46683f64576f9a3cfb6bbe554cb86593.jpg,lcc,114985,192642,4271,0.36866219084444274,0.5387190401116934,0.3737805849291512,0.964186288320923,train
GPAB6736_jpg.rf.2a447b81d9e09d99d2aa4e6de92083cb.jpg,lcc,394031,152630,19741,0.6956737440898867,0.8205278244291897,0.7207958862988214,0.95229015013099,train
